Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindDir,WindSpeed,Humidity,Pressure,Cloud,Temp,Rain
3/10/2008,19.3,26.3,0,W,NE,9,76,1022.5,1,25.5,No
3/11/2008,18.6,26.1,0,W,E,2,72,1021.4,0,26,No
3/12/2008,19.3,26.4,0,W,NE,7,77,1018.8,1,25,No
3/13/2008,19.2,26.1,0,W,ESE,6,84,1019,1,25.3,No
3/14/2008,18.8,26,0,W,ENE,9,84,1020,3,25.7,No
3/15/2008,19.3,26.1,0,W,ENE,2,80,1020.9,1,25.6,No
3/16/2008,19.7,25.8,0,W,E,7,81,1022.6,2,24.7,No
3/17/2008,19.5,25.7,0,W,E,4,82,1022.8,4,25.4,No
3/18/2008,19,26.7,0,W,ENE,11,73,1020,0,25.6,No
3/19/2008,19.9,26.9,0,W,E,7,70,1019.4,5,24.9,No
3/20/2008,19.7,28.1,0,W,NE,6,70,1009.6,2,27.6,No
3/21/2008,17.7,19.6,1,W,SSW,26,87,1018.9,8,18.4,No
3/22/2008,16.9,23.2,2.2,W,E,24,81,1022.2,7,21.7,Yes
3/23/2008,16.3,24.8,0.4,W,ESE,9,82,1020.6,5,24.8,No
3/24/2008,18.5,24.3,17,W,ENE,7,95,1015.3,6,23.3,Yes
3/25/2008,19.8,27.5,0.4,W,NNW,4,81,1006.9,5,27,No
3/26/2008,17,27.2,19,W,NW,0,76,1007.9,1,27.1,Yes
3/27/2008,15,23.6,0,W,ESE,20,52,1013.4,1,21.8,No
3/28/2008,15.2,21.7,0,W,SE,13,71,1016.2,4,21.2,No
3/29/2008,14.4,22.9,0.2,W,E,15,85,1011.2,3,21.7,No
3/30/2008,13.1,26.8,0,W,WNW,22,61,1009,0,25.9,No
3/31/2008,13.5,25.6,0,W,WNW,9,57,1012.5,4,24.9,No
4/1/2008,13.7,23.9,0,W,ESE,20,55,1021.5,1,23.3,No
4/2/2008,14.1,28.7,0,W,N,6,75,1012.4,1,28,No
4/3/2008,16.4,22.2,0,W,WSW,26,42,1010.8,6,21.2,No
4/4/2008,11.2,22.2,0,W,E,24,47,1019.2,1,21,No
4/5/2008,11.6,22.7,0,W,E,13,71,1023.4,0,21,No
4/6/2008,13.1,22.7,0,W,ESE,13,71,1024.6,5,22.1,No
4/7/2008,15.3,22,12,W,SSE,11,83,1024.2,5,19.8,Yes
4/8/2008,14.6,22.1,9.6,W,SE,20,86,1024.1,6,18.9,Yes
4/9/2008,15.6,22.2,22.8,W,E,13,96,1021.4,7,21.1,Yes
4/10/2008,13.8,22.7,2.2,W,E,15,77,1019.7,5,21.9,Yes
4/11/2008,14.1,23.5,0,W,E,15,83,1017.5,4,22.1,No
4/12/2008,14,23.8,0,W,E,11,79,1016,7,22.2,No
4/13/2008,15.1,22.7,0,W,ESE,11,81,1013.4,5,19.7,No
4/14/2008,13.2,18.9,11,W,S,19,82,1019.2,7,18.8,Yes
4/15/2008,13.8,19.7,2.8,W,S,20,85,1023.9,7,19,Yes
4/16/2008,13.8,20.9,1.4,W,SSW,15,78,1024.6,7,16.2,Yes
4/17/2008,14.9,19.7,4.6,W,S,17,91,1023.4,7,19.4,Yes
4/18/2008,15.3,20,6.4,W,SSE,4,94,1023.7,8,19.6,Yes
4/19/2008,15.9,21.4,5,W,SE,22,51,1026.1,6,19.5,Yes
4/20/2008,15.2,19.1,2.8,W,S,15,79,1023.7,7,18.4,Yes
4/21/2008,14.7,19.3,21.8,W,S,9,91,1021.4,8,19,Yes
4/22/2008,14.4,20.3,10.2,W,SE,9,90,1022.3,7,20.1,Yes
4/23/2008,14.7,17.9,12.6,W,SSE,6,90,1022.1,7,17.2,Yes
4/24/2008,14.7,20,15.6,W,S,19,93,1018.6,7,19.3,Yes
4/26/2008,12.7,24.8,0.4,W,E,15,81,1007,2,24.6,No
4/27/2008,15.6,26.1,0,W,N,20,51,999.1,6,25.7,No
4/28/2008,11.9,16.8,0,W,WSW,20,46,1008.6,2,15.6,No
4/29/2008,8.6,18.4,0,W,SSE,24,54,1019.8,1,17.8,No
4/30/2008,8.4,19.6,0,W,E,15,68,1021.3,1,18.1,No
5/1/2008,11.6,18.2,0,W,W,11,74,1016.7,7,18.1,No
5/2/2008,10.8,22.2,0,W,WSW,19,65,1015.3,1,21.7,No
5/3/2008,10.9,19.6,0,W,SSE,19,62,1016.9,1,18.6,No
5/4/2008,9.4,20.3,0,W,SE,22,64,1018.3,1,19.4,No
5/5/2008,9.4,22.3,0,W,NW,15,71,1015.2,1,22.2,No
5/6/2008,11.8,23.6,0,W,WNW,9,74,1013.3,6,21.1,No
5/7/2008,13,23,0,W,SSE,22,57,1011.8,1,22,No
5/8/2008,11,21.8,0,W,S,24,63,1017.5,1,20.8,No
5/9/2008,11,21.9,0,W,SE,17,75,1020.2,0,20.6,No
5/10/2008,12.6,21.3,0,W,E,11,86,1019.6,1,19.3,No
5/11/2008,14,19.4,0,W,SSE,13,84,1021.2,7,18.7,No
5/12/2008,12.4,19.5,0,W,E,11,88,1020.5,1,19.2,No
5/13/2008,13.2,19.7,0,W,E,11,88,1021.7,6,18.1,No
5/14/2008,11.2,20.6,0,W,ENE,20,82,1020.5,1,20,No
5/15/2008,12,21.4,0.2,W,E,13,90,1017.8,1,21.3,No
5/16/2008,13.8,23.2,1.2,W,NE,15,78,1013,6,20.9,Yes
5/17/2008,15.2,21.8,0,W,NNW,20,52,1003.6,3,20.9,No
5/18/2008,8.8,17.8,0,W,W,19,57,1006.3,1,17,No
5/19/2008,10.7,20.5,0,W,WNW,22,58,1013.3,1,20.3,No
5/20/2008,10.3,21.7,0,W,W,24,64,1017.5,1,21.3,No
5/21/2008,11.1,18.9,0,W,S,19,74,1022.8,4,17.3,No
5/22/2008,11.9,18.7,0,W,SSE,20,63,1026.2,1,17.4,No
5/23/2008,11,18.4,0,W,SSE,17,76,1024.6,1,17.1,No
5/24/2008,11.4,20.1,0,W,NW,13,71,1022.7,1,19.3,No
5/25/2008,8.8,18.3,0,W,ENE,17,78,1022.2,4,16.9,No
5/26/2008,10.9,21.1,0.4,W,ENE,20,81,1022.6,6,19.5,No
5/27/2008,11.5,22.4,0,W,E,15,82,1021.8,3,19.1,No
5/28/2008,11,19.2,0,W,NE,26,80,1023.9,3,18.6,No
5/29/2008,11,18.6,1,W,S,19,86,1029.1,3,17.6,No
5/30/2008,10.9,21,0.2,W,E,19,87,1028.7,1,19.6,No
5/31/2008,10.8,20.1,0,W,SSE,17,90,1026.66,1,19.4,No
6/1/2008,11.6,20.5,0.2,W,SE,19,91,1027,7,18.7,No
6/2/2008,14.3,17.6,22,W,W,9,97,1024.8,8,17.1,Yes
6/3/2008,15.2,19.1,4,W,E,17,98,1024.1,8,16.7,Yes
6/4/2008,15.5,18.3,9.2,W,ESE,19,87,1020.5,8,17.2,Yes
6/5/2008,15.2,16.9,46.4,W,S,24,82,1018.6,7,16.6,Yes
6/6/2008,14.7,17.4,12.4,W,SSW,15,81,1020.3,7,16.6,Yes
6/7/2008,11.7,18.2,0,W,S,19,76,1025.7,1,17.9,No
6/8/2008,12.7,17.7,6,W,ESE,17,97,1029.8,8,17.2,Yes
6/9/2008,13,16.9,3.6,W,ESE,13,96,1028,7,16.2,Yes
6/10/2008,12.4,19.9,1.6,W,N,13,98,1023.9,7,19.1,Yes
6/11/2008,13.2,19.9,0,W,N,6,74,1020.6,7,19.6,No
6/12/2008,13.7,22.1,5.4,W,ENE,11,97,1018.1,8,20.1,Yes
6/13/2008,14,18.8,0,W,WSW,20,67,1011.5,1,16.7,No
6/14/2008,9.6,14.6,0,W,SW,30,49,1022.5,5,14.1,No
6/15/2008,10.6,15.3,0,W,SSW,24,75,1022.8,7,14.5,No
6/16/2008,13.3,16.8,7.2,W,SSW,19,86,1023,6,15.8,Yes
6/17/2008,13.1,17.5,3.4,W,SSW,11,88,1024.8,7,17.3,Yes
6/18/2008,13.6,19.4,0,W,NE,13,90,1022.1,7,19.2,No
6/19/2008,12.8,20.3,0,W,ESE,13,91,1017.4,6,18.6,No
6/20/2008,13.8,17.9,3.6,W,W,19,81,1016.2,7,17.2,Yes
6/21/2008,11.6,18.5,2.2,W,WSW,15,66,1018.9,1,18,Yes
6/22/2008,9.7,17.3,0,W,SSW,22,61,1024,1,16.3,No
6/23/2008,8.2,17.1,0,W,WSW,13,74,1020.4,1,17,No
6/24/2008,9.2,19.2,0,W,WNW,19,72,1023.1,1,18.8,No
6/25/2008,9.9,19.6,0,W,WNW,17,69,1020.6,1,19.4,No
6/26/2008,10.2,20.2,0,W,W,28,47,1016.8,0,19.3,No
6/27/2008,9.5,19.4,0,W,WSW,24,57,1023.6,0,18.9,No
6/28/2008,7.9,18.7,0,W,SSE,20,68,1024.7,1,18.1,No
6/29/2008,7.9,21,0,W,NNW,13,84,1018.8,2,20.8,No
6/30/2008,9.2,22.1,0,W,NW,19,47,1010.3,1,21.6,No
7/1/2008,10.3,19.6,0.2,W,W,0,45,1008.5,0,19.2,No
7/2/2008,10.8,19.2,0,W,W,26,55,1011.2,1,18.8,No
7/3/2008,9.2,17.9,0,W,WNW,17,63,1020.8,1,17.4,No
7/4/2008,8.2,15,1.2,W,S,20,84,1028.2,7,12.9,Yes
7/5/2008,9.1,17.4,14.2,W,NE,11,78,1028.9,6,16.8,Yes
7/6/2008,8.3,18.4,0,W,SSE,15,84,1025.7,1,17.7,No
7/7/2008,9.7,19.8,0,W,N,9,87,1019.7,7,19.3,No
7/8/2008,10.5,17.2,0.2,W,SE,11,80,1017.4,1,16.4,No
7/9/2008,6.9,13.3,0,W,WSW,15,57,1015.7,2,13.2,No
7/10/2008,7.2,15.8,1.8,W,NW,11,58,1010,7,15.8,Yes
7/11/2008,10,16.5,0,W,WSW,24,46,1017,1,16.1,No
7/12/2008,5.7,15.9,0,W,NE,17,67,1023.5,4,15,No
7/13/2008,7.8,17.3,0,W,N,4,67,1021.2,8,17.1,No
7/14/2008,10.1,23.1,0,W,E,0,80,1017.3,7,22.9,No
7/15/2008,9.7,19.8,0,W,ESE,20,81,1018.4,1,17.4,No
7/16/2008,8.9,18,0,W,SSE,13,81,1019.1,1,17.4,No
7/17/2008,8.2,18.5,0,W,N,15,84,1013.3,4,17.3,No
7/18/2008,8.2,18.7,0,W,W,13,73,1007.3,1,17.9,No
7/19/2008,8.1,18.2,0,W,W,4,53,1014.1,1,18.2,No
7/20/2008,10.8,17.6,0,W,NE,6,41,1008.6,8,16.8,No
7/21/2008,10.4,17.5,2.8,W,W,26,56,1008.1,1,16.7,Yes
7/22/2008,7.2,15.1,0,W,SSW,19,52,1025.2,0,13.9,No
7/23/2008,5.5,14.7,0,W,SSW,22,67,1029.6,6,14.1,No
7/24/2008,6.9,15.9,7,W,ESE,19,95,1025.4,8,14.7,Yes
7/25/2008,9.8,12.7,8.8,W,S,15,93,1020.1,8,12.6,Yes
7/26/2008,6.2,17,16.2,W,SSE,24,79,1014.3,1,15.5,Yes
7/27/2008,6.3,17.6,0,W,ESE,11,71,1008.6,2,16.4,No
7/28/2008,7,13.6,3.8,W,SW,20,79,1011.3,6,10.2,Yes
7/29/2008,8,15,33.2,W,SSW,22,86,1015.1,6,13.5,Yes
7/30/2008,6,17,0.2,W,ESE,19,65,1013.7,2,16.2,No
7/31/2008,6,20.3,0,W,E,19,71,1011.6,1,18.5,No
8/1/2008,7.9,20.8,0,W,WNW,17,40,1003.3,6,16.8,No
8/2/2008,9.7,16.8,0,W,W,28,48,1013.3,1,16.6,No
8/3/2008,9.4,18.8,0,W,W,20,52,1017.7,0,18.7,No
8/4/2008,8.1,17.2,0,W,E,13,62,1017.1,6,15,No
8/5/2008,6.6,16.3,0,W,SSE,22,67,1016.1,1,16.3,No
8/6/2008,8.8,15.5,0,W,SSW,15,89,1015.6,7,14.3,No
8/7/2008,8.3,16.5,0.8,W,NW,20,74,1014.6,1,11.4,No
8/8/2008,8.2,18.6,4.6,W,SW,17,58,1016.9,7,18.4,Yes
8/9/2008,6.9,17.3,0,W,WNW,19,56,1018.1,1,16.4,No
8/10/2008,6.7,15.6,0,W,WNW,19,62,1011.8,2,13.5,No
8/11/2008,7,15.9,0.4,W,W,33,46,1015.4,1,15.4,No
8/12/2008,6.8,16.3,0,W,W,19,50,1018.8,1,15.8,No
8/13/2008,8.4,17.4,0,W,ESE,22,49,1021.9,1,16,No
8/14/2008,7.2,18.5,0,W,WSW,22,51,1015.6,0,18,No
8/15/2008,9.4,18.8,0,W,W,22,49,1010.2,1,18.1,No
8/16/2008,10.5,18,0,W,SE,22,48,1010.5,1,16.6,No
8/17/2008,6.9,16.4,0,W,SSE,17,45,1021.8,1,15.5,No
8/18/2008,5.6,15.8,0,W,SSW,20,59,1021.2,6,15.3,No
8/19/2008,5.3,17.6,0.6,W,ENE,22,65,1025.4,1,17.5,No
8/20/2008,8.2,19.5,0,W,W,2,58,1023.2,7,19.2,No
8/21/2008,9.4,20.2,0,W,ENE,7,58,1017.1,8,18.2,No
8/22/2008,10.2,11.9,2.6,W,SSW,15,90,1015.5,8,10.5,Yes
8/23/2008,7.3,14.8,20.8,W,S,24,65,1024.1,7,13.4,Yes
8/24/2008,5.5,17.3,0,W,SSE,24,63,1027.9,1,16.6,No
8/25/2008,8.2,16.4,0,W,NE,15,76,1024.8,7,16,No
8/26/2008,8.5,21.5,0,W,E,19,78,1019.3,2,18.7,No
8/28/2008,8.8,16.9,2.4,W,S,13,85,1025.3,3,15.8,Yes
8/29/2008,8.7,18.2,0,W,SSE,19,70,1022.3,2,16.1,No
8/30/2008,8.1,16,0,W,ENE,13,82,1019.1,5,15.7,No
8/31/2008,12.1,19.2,12,W,N,15,91,1009.555,7,19.1,Yes
9/1/2008,10.4,21,0.2,W,E,7,54,1020.8,0,19,No
9/2/2008,8.7,20.6,0,W,ESE,19,56,1024.4,0,18.9,No
9/3/2008,9.7,17.9,0,W,SSE,22,67,1032.4,7,16,No
9/4/2008,13.5,17.1,0.4,W,ESE,20,55,1031,7,15.8,No
9/5/2008,13.1,15.7,1.6,W,ESE,28,76,1020.8,8,14.2,Yes
9/6/2008,11.8,14.2,62.2,W,S,22,92,1013.1,8,12.3,Yes
9/7/2008,9.5,19,21.6,W,ESE,15,69,1014.1,2,18.3,Yes
9/8/2008,9.4,17.5,0,W,SSE,15,68,1018.2,1,16.4,No
9/9/2008,8.4,16.4,0,W,SE,13,49,1021.9,1,15.4,No
9/10/2008,7,16.8,0,W,ESE,17,66,1019.1,1,16.6,No
9/11/2008,7.1,17.7,0,W,ENE,15,72,1014.2,1,16.8,No
9/12/2008,8.7,24.3,0,W,NE,11,53,1010.8,1,21.9,No
9/13/2008,14.8,30.6,0,W,NE,4,40,1010.4,3,25,No
9/14/2008,17.2,23.5,3.6,W,NW,15,82,1007.4,8,19.3,Yes
9/15/2008,16.9,27.9,4,W,NW,28,58,1003.4,1,27.8,Yes
9/16/2008,12.3,19.8,0,W,WSW,39,30,1016.5,1,19.5,No
9/17/2008,10.7,16.3,0,W,SE,15,60,1023.4,6,15,No
9/18/2008,9.4,19.4,0,W,NE,6,63,1016.2,1,18.3,No
9/19/2008,14.6,25.8,0,W,NE,0,67,1011,1,24,No
9/20/2008,18.8,32.8,0,W,W,6,46,1005.9,0,31.6,No
9/21/2008,15.8,21.6,0,W,NE,9,73,1014.4,4,20.7,No
9/22/2008,13.2,29.8,0,W,NW,6,64,1007,0,27.6,No
9/23/2008,15.6,17,2.6,W,SSE,17,88,1018,8,16.9,Yes
9/24/2008,9.7,18.6,2.2,W,E,11,60,1028.6,3,17.5,Yes
9/25/2008,10.3,18.6,0,W,E,6,67,1027.8,1,18.2,No
9/26/2008,11.3,22.2,0,W,NE,4,56,1018.4,1,21.6,No
9/27/2008,14,25.4,0,W,E,7,67,1015.7,4,21.4,No
9/28/2008,19.8,32.9,0,W,SSE,17,35,1007.1,2,21.5,No
9/29/2008,13.5,21.8,0,W,SE,19,42,1015.6,1,16.1,No
9/30/2008,11.9,19.2,0.8,W,NE,6,61,1016.777,2,19,No
10/1/2008,12.6,24.7,0,W,NE,9,70,1015.7,6,20.5,No
10/2/2008,18.9,31.1,0,W,NE,4,44,1013.5,3,29.7,No
10/3/2008,22.5,34.8,0,W,W,15,41,1010.3,1,33.9,No
10/4/2008,17.5,19.4,9.6,W,NE,13,89,1012.9,7,19,Yes
10/5/2008,14.6,19.1,3.4,W,S,11,93,1015.3,8,16,Yes
10/6/2008,14.9,22.8,1.8,W,ENE,15,85,1003.9,8,20.2,Yes
10/7/2008,9.7,20.6,0.4,W,E,22,51,1014.4,1,17.2,No
10/8/2008,10.9,19.7,0,W,E,19,53,1018.6,4,18.4,No
10/9/2008,10.5,19.9,0,W,ESE,17,56,1025.7,1,19.2,No
10/10/2008,12.6,21.5,0,W,E,11,76,1025.4,3,20.5,No
10/11/2008,14.6,22.3,0,W,E,6,82,1024.3,5,20,No
10/12/2008,14.2,22.5,0,W,E,11,76,1021.8,1,20.8,No
10/13/2008,16.1,29.2,0,W,NE,6,72,1016.6,2,27.7,No
10/14/2008,16.6,21,0.6,W,E,20,89,1016,8,17.6,No
10/15/2008,15.1,18.9,9,W,SE,20,63,1021.2,7,18.1,Yes
10/16/2008,11.8,22.1,0,W,E,7,64,1023.4,1,20.3,No
10/17/2008,12.9,24.9,0,W,ENE,7,71,1021,1,22.4,No
10/18/2008,16.7,23.2,0,W,E,4,77,1022,5,19.7,No
10/19/2008,16.5,26.8,0,W,NE,6,64,1018.5,1,26.6,No
10/20/2008,17.1,22.2,0,W,SE,20,76,1019.3,7,21.8,No
10/21/2008,14.5,19.2,1.8,W,SSE,26,68,1019.6,6,18.8,Yes
10/22/2008,9.9,14.3,12.6,W,S,19,87,1021.9,7,12.4,Yes
10/23/2008,7.9,15.7,11.4,W,S,24,71,1022.5,6,14.1,Yes
10/24/2008,9,20.2,2,W,E,15,66,1019,6,18.2,Yes
10/25/2008,12.3,24,0,W,E,17,66,1015.1,1,22.2,No
10/26/2008,14.4,24.4,0,W,NNE,6,58,1013.4,6,23.6,No
10/27/2008,19.8,33.6,0,W,NE,6,55,1010.8,2,29.8,No
10/28/2008,17.6,21.9,0,W,SSE,11,67,1019.9,5,20.5,No
10/29/2008,16.8,17.3,6.2,W,SE,11,93,1023.8,8,16.7,Yes
10/30/2008,15.1,25.8,7.6,W,NE,9,92,1016.7,8,23.5,Yes
10/31/2008,16.9,35,0.2,W,WNW,17,53,1005.3,6,34.6,No
11/1/2008,18,21.2,0.4,W,SSE,19,73,1022.9,7,20.4,No
11/2/2008,17.5,23.1,0.8,W,NE,11,72,1021,7,20,No
11/3/2008,17.2,30.3,2.8,W,W,22,62,1006,2,28.6,Yes
11/4/2008,15.5,19,0.2,W,SSE,22,59,1015.9,7,17.8,No
11/5/2008,14.5,21,0,W,NE,4,59,1010.6,6,20.1,No
11/6/2008,15.2,30.3,0,W,ENE,9,58,1006.7,5,25,No
11/7/2008,16,24.1,0,W,E,15,61,1011.1,6,21.3,No
11/8/2008,18.4,25.2,0.2,W,WSW,24,62,1003.8,7,22.8,No
11/9/2008,16.6,23,0.4,W,E,13,46,1017.9,1,21.5,No
11/10/2008,17.4,23.3,0,W,E,2,63,1021.9,5,22.2,No
11/11/2008,15.9,23.1,0,W,E,0,66,1020.9,3,22.3,No
11/12/2008,16.4,24.6,0,W,ENE,6,69,1017.1,7,24,No
11/13/2008,19,24.9,0,W,E,13,61,1016,3,24.2,No
11/14/2008,19.2,27,0,W,NE,13,65,1010.6,5,26.1,No
11/15/2008,18.5,23.1,6.6,W,SE,17,92,1012.1,8,21.5,Yes
11/16/2008,17.2,22.4,1.2,W,SE,20,75,1016.7,7,19.4,Yes
11/17/2008,15.5,20.9,0,W,NE,4,60,1017.5,7,20,No
11/18/2008,16.2,23.4,0,W,NE,22,60,1013.7,7,21.6,No
11/19/2008,17,22.1,6.2,W,E,9,91,1008.2,8,20.9,Yes
11/20/2008,17.3,27.6,29.4,W,N,15,70,997.5,3,26.7,Yes
11/21/2008,16.7,27.7,0.2,W,E,19,34,996.4,1,23.7,No
11/22/2008,17.9,20.6,0,W,E,31,49,991.4,3,17.2,No
11/23/2008,12.2,19.7,0.2,W,SSW,19,50,991,7,18.4,No
11/24/2008,13.6,22.3,2.4,W,SSE,19,47,1005.1,1,20.7,Yes
11/25/2008,15.5,21.8,0,W,SSE,15,62,1015.3,5,19.3,No
11/26/2008,16.4,21.8,0,W,E,7,55,1014.1,7,19.2,No
11/27/2008,15.9,23.6,0,W,NE,17,58,1008.9,7,22.7,No
11/28/2008,19.5,24.6,0.2,W,N,24,71,1003.9,8,22.2,No
11/29/2008,19.3,23.3,10.8,W,S,13,92,1002,7,19.8,Yes
11/30/2008,15,24.9,11.2,W,E,13,64,1007.2,2,21.4,Yes
12/1/2008,17.6,31.3,0,W,WNW,2,29,1004.6,3,30.8,No
12/2/2008,16.6,23.8,0,W,E,6,65,1007.2,1,23.4,No
12/3/2008,18.4,33.2,0,W,W,13,67,1005.6,7,32.3,No
12/4/2008,18.4,21.8,0,W,E,20,59,1018.5,8,21.5,No
12/5/2008,19.3,27,0,W,E,15,78,1008.6,8,24.1,No
12/6/2008,20.8,34.8,0,W,SSE,13,57,1004.1,7,28.8,No
12/7/2008,20,26.1,0,W,SE,11,81,1008.4,8,21.7,No
12/8/2008,18.2,22.3,6.8,W,E,19,74,1010.9,7,21.9,Yes
12/9/2008,17.4,25.9,1.8,W,NE,7,81,1006.3,3,24.9,Yes
12/10/2008,19.5,23.4,0,W,SSE,35,71,1009.6,3,21.7,No
12/11/2008,17.2,19.9,3.4,W,ESE,15,90,1015,8,19.7,Yes
12/12/2008,17.4,24.5,3.6,W,ENE,13,85,1009.9,8,18.4,Yes
12/13/2008,17,32.9,28.2,W,W,24,82,990.3,6,32.5,Yes
12/14/2008,19.2,25.4,0,W,WSW,33,42,997.4,1,23.9,No
12/15/2008,16.7,23.8,0,W,SE,24,39,1007.9,5,22.8,No
12/16/2008,15,24.1,0,W,NE,13,58,1010.1,1,23.4,No
12/17/2008,17.7,26,0,W,E,6,68,1008,1,23.1,No
12/18/2008,19.3,27.4,0,W,E,13,65,1001.2,2,24,No
12/19/2008,17.3,26.4,0.6,W,SE,7,67,1007.8,2,21.2,No
12/20/2008,15.7,20.4,0,W,SSE,26,57,1019.3,5,18.2,No
12/21/2008,14.3,22.1,0.4,W,E,2,60,1019.9,4,21.4,No
12/22/2008,15.9,24.1,0,W,NE,22,56,1014.8,1,22.9,No
12/23/2008,19,26.9,0,W,ENE,11,60,1008.4,6,26,No
12/24/2008,18.7,20.7,0.4,W,SSE,17,77,1012.6,8,19.7,No
12/25/2008,16.4,23.3,0,W,E,7,73,1013.5,7,22.8,No
12/26/2008,19.1,26,0,W,NE,4,75,1010.7,7,25.4,No
12/27/2008,20.5,27.2,0,W,NE,9,79,1005,7,26.2,No
12/28/2008,19.7,28.3,7,W,E,4,72,1003.2,1,26.5,Yes
12/29/2008,20.7,24.9,0,W,SE,28,72,1003.7,2,22.4,No
12/30/2008,18.2,27.6,2,W,E,9,81,999.3,6,23.8,Yes
12/31/2008,19.2,31.5,0,W,E,19,37,1002.4,0,25.3,No
1/1/2009,18.4,34.7,0,W,NNW,11,73,1000.7,4,34.3,No
1/2/2009,18.8,22.7,0,W,ESE,11,62,1013.8,6,20.8,No
1/3/2009,17,23,0,W,ENE,13,58,1019.4,8,21.4,No
1/4/2009,18.7,24.6,0,W,NE,13,59,1015.2,2,24.1,No
1/5/2009,19.5,27.9,0,W,ENE,6,66,1008.9,4,26.2,No
1/6/2009,20.2,28.3,0,W,E,11,77,1008,0,25.8,No
1/7/2009,20.7,33.1,0,W,E,6,72,1005.1,1,26.1,No
1/8/2009,20.4,22.4,0,W,SSE,24,78,1013.4,8,20.1,No
1/9/2009,17.2,22.6,0.4,W,ESE,22,54,1018.8,7,21.2,No
1/10/2009,18.3,23.4,0,W,E,17,54,1013.9,7,22.5,No
1/11/2009,17.4,24.6,0,W,ENE,19,58,1011.5,3,23.9,No
1/12/2009,18.7,26.8,1.2,W,ESE,7,71,1016.4,1,25.6,Yes
1/13/2009,19.6,26.2,0.2,W,NE,7,74,1016.5,6,25.4,No
1/14/2009,20.8,29.7,0,W,NNE,7,67,1011.2,0,29.1,No
1/15/2009,23,33.4,0,W,NE,7,61,1006,5,33.1,No
1/16/2009,18.8,25,1.8,W,E,4,69,1008.8,2,24,Yes
1/17/2009,17.7,22.6,0,W,SSE,26,52,1020.5,6,21.6,No
1/18/2009,14.8,23.3,0,W,E,11,62,1020,1,22.9,No
1/19/2009,16.4,25.1,0,W,NE,15,55,1015,1,23.8,No
